	taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction
593	Flavobacterium	oilspill	1e-06	EX_phe__L_e	-0.0374458270240865	0.1	phe__L_e	import
597	Flavobacterium	oilspill	1e-06	EX_thym_e	0.038810049714015804	0.1	thym_e	export
599	Flavobacterium	oilspill	1e-06	EX_glcn_e	-99.45621199815878	0.1	glcn_e	import
600	Flavobacterium	oilspill	1e-06	EX_fol_e	-0.0001352185155241159	0.1	fol_e	import
602	Flavobacterium	oilspill	1e-06	EX_asn__L_e	-0.04872212146540278	0.1	asn__L_e	import
607	Flavobacterium	oilspill	1e-06	EX_icit_e	197.77017322593565	0.1	icit_e	export
614	Flavobacterium	oilspill	1e-06	EX_glu__L_e	-6.743837791457348	0.1	glu__L_e	import
618	Flavobacterium	oilspill	1e-06	EX_glyald_e	100.0	0.1	glyald_e	export
619	Flavobacterium	oilspill	1e-06	EX_his__L_e	-0.019148477913290662	0.1	his__L_e	import
620	Flavobacterium	oilspill	1e-06	EX_glyc_e	-100.0	0.1	glyc_e	import
628	Flavobacterium	oilspill	1e-06	EX_h2co3_e	-46.988383891735	0.1	h2co3_e	import
633	Flavobacterium	oilspill	1e-06	EX_o2_e	-0.07527215698462442	0.1	o2_e	import
634	Flavobacterium	oilspill	1e-06	EX_cgly_e	197.92290176719374	0.1	cgly_e	export
635	Flavobacterium	oilspill	1e-06	EX_pro__L_e	-0.044679714424205486	0.1	pro__L_e	import
637	Flavobacterium	oilspill	1e-06	EX_glyc__R_e	-0.23393430896589962	0.1	glyc__R_e	import
648	Flavobacterium	oilspill	1e-06	EX_adn_e	-99.9614412072716	0.1	adn_e	import
650	Flavobacterium	oilspill	1e-06	EX_lac__D_e	-100.0	0.1	lac__D_e	import
653	Flavobacterium	oilspill	1e-06	EX_k_e	-0.03945247787932053	0.1	k_e	import
659	Flavobacterium	oilspill	1e-06	EX_ser__D_e	99.89836994377254	0.1	ser__D_e	export
661	Flavobacterium	oilspill	1e-06	EX_5dglcn_e	-100.0	0.1	5dglcn_e	import
662	Flavobacterium	oilspill	1e-06	EX_asp__L_e	-100.0	0.1	asp__L_e	import
666	Flavobacterium	oilspill	1e-06	EX_cu2_e	-0.00014330331504596835	0.1	cu2_e	import
677	Flavobacterium	oilspill	1e-06	EX_man6p_e	-100.0	0.1	man6p_e	import
680	Flavobacterium	oilspill	1e-06	EX_nh4_e	152.7252251509085	0.1	nh4_e	export
681	Flavobacterium	oilspill	1e-06	EX_thm_e	-4.507283850900628e-05	0.1	thm_e	import
685	Flavobacterium	oilspill	1e-06	EX_h2o_e	-100.0	0.1	h2o_e	import
693	Flavobacterium	oilspill	1e-06	EX_gthox_e	-48.96145088359687	0.1	gthox_e	import
696	Flavobacterium	oilspill	1e-06	EX_thr__L_e	-0.05127530575259698	0.1	thr__L_e	import
698	Flavobacterium	oilspill	1e-06	EX_pi_e	99.2262773984994	0.1	pi_e	export
705	Flavobacterium	oilspill	1e-06	EX_man1p_e	0.5221400924647241	0.1	man1p_e	export
707	Flavobacterium	oilspill	1e-06	EX_arg__L_e	-0.05978558317599436	0.1	arg__L_e	import
708	Flavobacterium	oilspill	1e-06	EX_glyb_e	-0.07522708414614954	0.1	glyb_e	import
709	Flavobacterium	oilspill	1e-06	EX_so4_e	-0.5552508257999261	0.1	so4_e	import
715	Flavobacterium	oilspill	1e-06	EX_zn2_e	-6.892304008943029e-05	0.1	zn2_e	import
716	Flavobacterium	oilspill	1e-06	EX_ca2_e	-0.0010520364324975162	0.1	ca2_e	import
720	Flavobacterium	oilspill	1e-06	EX_pac_e	-94.64630714323096	0.1	pac_e	import
724	Flavobacterium	oilspill	1e-06	EX_no2_e	-0.010279504238383197	0.1	no2_e	import
725	Flavobacterium	oilspill	1e-06	EX_h2o2_e	48.96145088359687	0.1	h2o2_e	export
732	Flavobacterium	oilspill	1e-06	EX_glc__D_e	-12.416164776308804	0.1	glc__D_e	import
735	Flavobacterium	oilspill	1e-06	EX_fe2_e	-0.0013572381640187814	0.1	fe2_e	import
736	Flavobacterium	oilspill	1e-06	EX_indole_e	-0.03938749805183761	0.1	indole_e	import
741	Flavobacterium	oilspill	1e-06	EX_pyr_e	-71.65791830702165	0.1	pyr_e	import
